sentence_en,sentence_es_googletranslate,label
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN dijo que la oferta está en línea con su estrategia de aumentar su propiedad en participaciones comerciales principales y fortalecería la oferta de Eesti Telekom a sus clientes.,2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston (CFSB) aumentó el valor justo de las acciones de cuatro de los mayores grupos forestales nórdicos.",2
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Un acuerdo de compra de 7.200 toneladas de gasolina con entrega en la terminal de Hamina, Finlandia, fue firmado con Neste Oil OYj al índice Platts promedio de este mes de septiembre más ocho dólares estadounidenses al mes.",2
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","La empresa finlandesa Talentum informa que su beneficio operativo aumentó a 20,5 millones de euros en 2005 desde 9,3 millones de euros en 2004, y las ventas netas totalizaron 103,3 millones de euros, frente a 96,4 millones de euros.",2
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","Las ventas de la cadena minorista de ropa Sepp+ñl+ñ aumentaron un 8% hasta 155,2 millones de euros, y el beneficio operativo ascendió a 31,1 millones de euros desde 17,1 millones de euros en 2004.",2
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Las ventas netas consolidadas aumentaron un 16% hasta alcanzar los 74,8 millones de euros, mientras que el beneficio operativo ascendió a 0,9 millones de euros, en comparación con una pérdida de 0,7 millones de euros en el mismo período del año anterior.",2
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, una subsidiaria de Incap Corporation de Finlandia, planea duplicar sus ingresos para 2007-2008.",2
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - Las acciones cerraron al alza, lideradas por Nokia después de que anunció planes de asociarse con Sanyo para fabricar teléfonos 3G, y por Nokian Tyres después de que su informe de ganancias del cuarto trimestre superó las expectativas de los analistas, dijeron distribuidores.",2
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","Lifetree se fundó en 2000 y sus ingresos aumentaron en promedio un 40%, con márgenes de alrededor del 30%.",2
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Su consejo de administración propondrá un dividendo de 0,12 euros por acción para 2010, frente a los 0,08 euros por acción pagados en 2009.",2
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","La división de fundiciones informó que sus ventas aumentaron un 9,7 % hasta 63,1 millones de euros desde 57,5 millones de euros en el período correspondiente en 2006, y las ventas de la división de talleres de maquinaria aumentaron un 16,4 % hasta 41,2 millones de euros desde 35,4 millones de euros en el período correspondiente en 2006.",2
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","( Filippova ) Un acuerdo trilateral sobre inversiones para la construcción de un parque tecnológico en San Petersburgo debía firmarse durante el foro "" Días de la Economía Rusa "" , inaugurado hoy en Helsinki .",2
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","Los ingresos netos procedentes de seguros de vida se duplicaron hasta alcanzar los 6,8 millones de euros desde 3,2 millones de euros, y los ingresos netos procedentes de seguros distintos de los de vida aumentaron hasta los 5,2 millones de euros desde 1,5 millones de euros en el mismo período de 2009.",2
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","La base de suscriptores de MegaFon aumentó un 16,1 % en 2009 hasta alcanzar los 50,5 millones de usuarios al 31 de diciembre, mientras que su cuota de mercado por número de clientes ascendió al 24 % a finales de 2009, frente al 23 % a finales de 2008, según estimaciones de TeliaSonera.",2
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"Las ventas netas aumentaron a 193,3 millones de euros desde 179,9 millones de euros y el beneficio antes de impuestos aumentó un 34,2% hasta 43,1 millones de euros (1 EUR = 1,4 USD).",2
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Las ventas netas aumentaron un 18,5% hasta 167,8 millones de euros. Teleste dijo que 20,4 millones de euros, o el 12,2%, de las ventas provinieron de las adquisiciones realizadas en 2009.",2
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,El beneficio operativo del Grupo Nordea aumentó en 2010 un 18 por ciento interanual hasta 3.640 millones de euros y los ingresos totales un 3 por ciento hasta 9.330 millones de euros.,2
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","El beneficio operativo del período de nueve meses aumentó en 13,6 millones de euros, mientras que las ventas netas aumentaron en 394,7 millones de euros, en comparación con el período correspondiente en 2005.",2
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","El beneficio operativo del período de nueve meses aumentó en 3,1 millones de euros y las ventas netas aumentaron en 61,5 millones de euros, en comparación con el período correspondiente en 2007.",2
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","El beneficio operativo del trimestre aumentó en 1,2 millones de euros, mientras que los ingresos aumentaron en 20,2 millones de euros, en comparación con el mismo período del año 2005.",2
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .","La unidad brasileña del proveedor finlandés de soluciones de seguridad F-Secure consiguió 1.500 nuevos clientes el año pasado, según dijo el director comercial de la división, Vladimir Brand+úo, citado por la fuente de noticias en línea Reseller Web.",2
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","El beneficio neto de la compañía aumentó un 11,4 % en el año hasta 82,2 millones de euros en 2005 con unas ventas de 686,5 millones de euros, un 13,8 % más que en el año anterior, dijo la compañía anteriormente.",2
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","El mercado de cerveza lituano alcanzó los 14,41 millones de litros en enero, un aumento del 0,8 por ciento respecto a la cifra del año anterior, según informó la Asociación de Cerveceros de Lituania citando los resultados de sus miembros.",2
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","Los ingresos por carga de Viking Line aumentaron un 5,4 % hasta 21,46 millones de euros, y el volumen de carga aumentó un 2,4 % hasta 70.116 unidades de carga.",2
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","El valor razonable de la cartera inmobiliaria se duplicó como resultado de la adquisición de Kapiteeli y ascendió a 2.686,2 1.259,7 millones de euros.",2
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","Helsinki: ELIiV anunció hoy un BPA de 1,13 EUR para 2009, un incremento respecto al BPA de 1,12 EUR en 2008.",2
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 de febrero de 2011 - La empresa de medios finlandesa Sanoma Oyj HEL: SAA1V dijo ayer que su beneficio neto de 2010 casi se triplicó hasta 297,3 millones de euros desde 107,1 millones de euros en 2009 y anunció una propuesta para un aumento en el pago.",2
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","Los ingresos por comisiones aumentaron un 22% hasta 4,4 millones de euros y el volumen de préstamos aumentó un 13,5%.",2
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","COMUNICADO DE LA BOLSA DE VALORES DE ASPO PLC 11 de febrero de 2011 a las 8.45 a.m. ESL Shipping Ltd, parte de Aspo Group, ha firmado un nuevo contrato a largo plazo con Rautaruukki Corporation para el transporte marítimo de materias primas en el Mar Báltico.",2
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","En enero, el tráfico, medido en kilómetros de pasajeros transportados (RPK), aumentó un 3,2% y la capacidad, medida en kilómetros de asientos disponibles (ASK), aumentó un 12,2%.",2
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","En enero-septiembre de 2010, el beneficio neto de Fiskars aumentó un 14 % interanual hasta 65,4 millones de euros y las ventas netas hasta 525,3 millones de euros desde 487,7 millones de euros.",2
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Los ingresos netos procedentes de seguros de vida aumentaron hasta 16,5 millones de euros desde 14,0 millones de euros, y los ingresos netos procedentes de seguros distintos de los de vida aumentaron hasta 22,6 millones de euros desde 15,2 millones de euros en 2009.",2
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Nyrstar también acordó suministrar a Talvivaara hasta 150.000 toneladas de ácido sulfúrico por año para su uso en el proceso de lixiviación de Talvivaara durante el período de suministro de zinc en concentrado.,2
Sales have risen in other export markets .,Las ventas han aumentado en otros mercados de exportación.,2
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Las ventas de la división de tiendas departamentales y de Hobby Hall aumentaron un 7%, mientras que las ventas de la filial de tiendas de ropa Seppala disminuyeron un 4%.",2
Sales increased due to growing market rates and increased operations .,Las ventas aumentaron debido al crecimiento de las tasas del mercado y al aumento de las operaciones.,2
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,El acuerdo fortalece nuestra asociación a largo plazo con Nokia Siemens Networks.,2
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","El acuerdo se firmó con Biohit Healthcare Ltd, la subsidiaria con sede en el Reino Unido de Biohit Oyj, una empresa pública finlandesa que desarrolla, fabrica y comercializa productos de manejo de líquidos y sistemas de pruebas de diagnóstico.",2
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"La compañía estima también que las inversiones ya realizadas supondrán un incremento de sus ventas netas en 2010 respecto a 2009, cuando alcanzaron los 141,7 millones de euros.",2
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","La cartera de pedidos de la compañía ascendía a 1.500 millones de euros (2.200 millones de dólares) el 30 de septiembre de 2007, un 24,2% más que en el año anterior, con pedidos internacionales por un valor de 365 millones de euros (534,3 millones de dólares).",2
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","La compañía dijo que la demanda de papel aumentó en todos sus mercados principales, incluido el de publicaciones, y que incrementó los precios promedio del papel en un 4 por ciento en comparación con el año pasado.",2
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","En el marco de la asociación, Nokia Siemens Networks ha firmado un acuerdo marco de compra inicial con la filial de Sitronics, JSC Mikron, que es el mayor fabricante y exportador de componentes microelectrónicos de Rusia.",2
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Las acciones de Standard Chartered (STAN) subieron un 1,2% en el FTSE 100, mientras que las acciones de Royal Bank of Scotland (RBS) subieron un 2% y las de Barclays (BARC) (BCS) subieron un 1,7%.",2
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,Las acciones de Nokia Corp. subieron el jueves después de que el fabricante de teléfonos celulares dijera que sus ganancias del tercer trimestre casi se duplicaron y su participación en el mercado mundial de teléfonos aumentó.,2
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Los ingresos de Seppala aumentaron un 0,2 %, hasta los 10,1 millones de euros. En Finlandia, los ingresos disminuyeron un 2,4 %, hasta los 6,8 millones de euros, mientras que las ventas en el extranjero aumentaron un 6,2 %, hasta los 3,3 millones de euros. Las ventas aumentaron en todos los países bálticos, así como en Rusia y Ucrania.",2
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","A petición de los periódicos de la empresa de medios finlandesa Alma Media, el director de investigación Jari Kaivo-oja del Centro de Investigación de Futuros de Finlandia en la Escuela de Economía de Turku ha elaborado un escenario futuro para la economía nacional de Finlandia utilizando un modelo desarrollado por la Universidad de Denver.",1
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"Las ventas de la división de tiendas departamentales aumentaron un 15% y las ventas de la filial de ropa Seppala aumentaron un 8%, mientras que las ventas de Hobby Hall disminuyeron un 12%.",2
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","En su informe financiero, publicado el viernes, SEB dijo que su beneficio neto ascendió a 6.745 millones de coronas suecas en 2010, desde 1.114 millones de coronas suecas el año anterior, y propuso un aumento del dividendo del 50%, a 1,50 coronas suecas por acción.",2
"When this investment is in place , Atria plans to expand into the Moscow market .","Una vez realizada esta inversión, Atria planea expandirse al mercado de Moscú.",1
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,La empresa apoya a sus clientes globales en el desarrollo de nuevas tecnologías y ofrece una ruta rápida desde el desarrollo de productos hasta las aplicaciones y la producción en volumen.,1
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","En Suecia, las ventas acumuladas de Gallerix denominadas en coronas suecas cayeron un 1% y las ventas denominadas en euros aumentaron un 11%.",1
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","En junio vendió una participación del 30 por ciento a Nordstjernan, y el grupo inversor ha tomado ahora la opción de adquirir las acciones restantes de EQT.",1
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","En un primer momento el contrato preveía la construcción de tres transbordadores con opción a dos unidades más, confirmado además por un valor total de 500 millones de euros (645,8 millones de dólares).",2
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","""El nuevo acuerdo es una continuación del acuerdo firmado a principios de este año con el Grupo Lemminkainen, mediante el cual Cramo adquirió toda la flota de maquinaria de construcción de Lemminkainen Talo Oy Ita-ja Pohjois Suomo, y firmó un acuerdo similar"", dijo Tatu Hauhio, director general de Cramo Finlandia.",1
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","COMUNICADO DE LA BOLSA DE VALORES DE KESKO CORPORATION 28.02.2008 A LAS 09.30 1 ( 1 ) Kesko Corporation y Aspo plc firmaron hoy un acuerdo por el cual Aspo adquiere el capital social de Kauko-Telko Ltd , una subsidiaria propiedad en su totalidad de Kesko .",2
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Comunicado de prensa de Sponda Plc, 5 de diciembre de 2006, 15.45 EUR. LÍNEA DE CRÉDITO SINDICADA DE 1.500 MILLONES PARA SPONDA Sponda ha firmado un acuerdo para una línea de crédito sindicada de un año por un total de 1.500 millones de euros.",2
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,ANUNCIO DE BOLSA DE VALORES 20 de julio de 2006 1 ( 1 ) SUSCRIPCIONES DE ACCIONES DE BASWARE CON WARRANTS Y AUMENTO DEL CAPITAL SOCIAL Un total de 119 850 acciones han sido suscritas con el Programa de Warrants de BasWare .,1
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,Está previsto que la nueva planta tenga una capacidad de generación de electricidad de hasta 350 megavatios (MW) y la misma capacidad de generación de calor.,1
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","El contrato cubre la plataforma HDO, los nodos ópticos Fttb AC800 y CXE880 diseñados para aumentar la capacidad de las rutas de ida y vuelta de las redes de transmisión.",2
"- So , the sales growth of cars considerably influence on the tires market '' .","- Entonces, el crecimiento de las ventas de automóviles influye considerablemente en el mercado de neumáticos”.",1
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",Se podrá suscribir un máximo de 666.104 acciones nuevas mediante el ejercicio de opciones B conforme al plan de opciones sobre acciones de 2004.,1
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","El índice OMX Helsinki 25 subió un 0,92% y cerró en 2.518,67 puntos, y el índice de cartera Helsinki CAP subió un 0,91% y cerró en 4.711,19 puntos.",2
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","Como resultado de la emisión de acciones, el número de acciones de la compañía aumenta en 391.630 acciones y el capital social en un total de 15.665,20 euros.",1
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","En la ruta entre Helsinki en Finlandia y Tallin en Estonia, el volumen de carga aumentó un 36%, mientras que el volumen de carga entre Finlandia y Suecia cayó un 9%.",1
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Otras medidas incluyeron el aumento de las sinergias y las economías de escala dentro del Grupo Grimaldi y ajustes de personal, desinversiones y reentrega de tonelaje excedente.",1
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","El inversor inmobiliario finlandés Sponda Plc dijo el miércoles 12 de marzo que ha firmado acuerdos con Danske Bank A-S, sucursal de Helsinki para una línea de crédito de 150 millones de euros a 7 años y con Ilmarinen Mutual Pension Insurance Company para una línea de crédito de 50 millones de euros a 7 años.",1
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Rinkuskiai aumentó las ventas un 18,1 por ciento, hasta 1,37 millones de litros, mientras que las ventas de Kauno Alus crecieron un 14,3 por ciento, hasta 960.000 litros.",2
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 de abril de 2006-TJ Group Plc vende participación en Morning Digital Design Oy La empresa finlandesa de TI TJ Group Plc dijo el viernes 7 de abril que había firmado un acuerdo para la venta de sus acciones de Morning Digital Design Oy a Edita Oyj.,1
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 de abril de 2006-TJ Group Plc vende participación en Morning Digital Design Oy La empresa finlandesa de TI TJ Group Plc dijo el viernes 7 de abril que había firmado un acuerdo para la venta de sus acciones de Morning Digital Design Oy a Edita Oyj.,2
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,"Los contratos de compra de combustible se han firmado con un plazo de entrega de tres meses, de septiembre a noviembre de este año.",1
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","Las 718.430 nuevas acciones Serie A comenzarán a cotizar en la Lista Principal de la Bolsa de Valores de Helsinki, junto con las antiguas acciones Serie A, el 3 de julio de 2006.",1
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"Tiimari opera 194 tiendas en seis países, incluido su mercado principal, Finlandia, y generó una facturación de 76,5 millones de euros en 2005.",1
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"Gracias a este acuerdo, Biohit se convierte en un proveedor líder de pipetas y puntas de pipeta desechables para clientes de VWR en toda Europa.",2
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,La ausencia de puntos ciegos desde un único punto de vista permite a los investigadores ver la historia completa en alta resolución sin necesidad de vídeo ininterrumpido.,1
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","La combinación de todos los servicios nos permite ofrecer una cadena de servicios compleja y reforzada no sólo limitada a las conexiones portuarias del Báltico sino también al acceso a la red mundial Grimaldi en el Mediterráneo, África y América del Norte”, afirma Uwe Bakosch.",2
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,La adquisición aumentará considerablemente las ventas y la posición de mercado de Kemira en el mercado de recubrimientos para la industria metalúrgica rusa.,2
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","La empresa aún espera que su facturación en 2010 aumente ligeramente respecto al nivel de 2009, añadiendo que ""la previsibilidad del mercado todavía es demasiado pobre para realizar previsiones fiables sobre el desarrollo del mercado del negocio de fabricación por contrato durante el año en curso"".",2
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Ajustando los cambios en la estructura del Grupo, las ventas netas de la División aumentaron un 1,7%.",2
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","Entre enero y septiembre de 2007, las ventas netas de Finnlines aumentaron hasta 505,4 millones de euros, desde 473,5 millones de euros en el mismo período de 2006.",2
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","""El cambio optimizará la eficiencia operativa de nuestro negocio en crecimiento"", afirmó Julia Prohaska, directora de comunicaciones de marketing de Fiskars.",2
