id,text,target,target_sentiment,companies_sentiment,consumers_sentiment
282747.0,"El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre",Ibex-35,negative,negative,negative
292024.0,"El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos",Ibex-35,negative,negative,negative
297814.0,"El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas",IBEX,negative,negative,negative
310178.0,La bajada de los alimentos deja la subida de precios de enero en el 1%,bajada de los alimentos,negative,negative,negative
310840.0,"El déficit público en la eurozona sube al 0,5% en el tercer trimestre",déficit público,negative,negative,negative
312966.0,Las empresas aportan la mitad que hace 10 años a las cuentas del Estado,empresas,negative,negative,negative
319081.0,"El Ibex-35 cae un 4,8% en agosto, cierra al filo de los 9.400 puntos, casi en mínimos anuales",Ibex-35,negative,negative,negative
323918.0,"La inflación de China se mantiene en el 1,8% en mayo",inflación de China,positive,negative,negative
324263.0,Con las cuotas a vueltas,cuotas,negative,negative,negative
349600.0,El vaivén de Donald Trump con los aranceles de China sacude todas las bolsas mundiales,vaivén de Donald Trump,negative,negative,negative
357844.0,«Los índices europeos parecen haber entrado en modo rebote»,índices europeos,positive,negative,negative
384829.0,"El beneficio del Santander se reduce un 4,9% por los tipos de cambio",beneficio del Santander,negative,negative,negative
385359.0,Guindos apunta a Italia como el mayor riesgo para la deuda en Europa y no descarta un 'efecto contagio',Italia,negative,negative,negative
390834.0,"El FMI calcula que el coronavirus puede costarle entre un 0,1% y un 0,2% al PIB mundial este año",coronavirus,negative,negative,negative
394627.0,Oh yes! Gibraltar se paga sus servicios públicos engañando a la UE,Gibraltar,negative,negative,negative
409492.0,Sanidad contradice a Comercio y prohíbe las rebajas por posibles aglomeraciones,rebajas,negative,negative,negative
426829.0,"La tasa de paro salta al 15,33% tras destruirse un millón de empleos",tasa de paro,negative,negative,negative
432283.0,La disolución de empresas se duplicó en junio respecto a mayo,disolución de empresas,negative,negative,negative
438555.0,"Créditos morosos en manos del Gobierno español sumaban 0,2 % del PIB en 2017",Créditos morosos,negative,negative,negative
445266.0,"El FMI alerta a Italia de que sus políticas podrían dejar ""vulnerable"" al país ante los mercados",Italia,negative,negative,negative
461307.0,Hacienda advierte a 21.500 usuarios de plataformas como Airbnb de que deben declarar todos sus ingresos,usuarios de plataformas como Airbnb,negative,negative,positive
463625.0,"La Bolsa de Hong Kong baja un 0,51 % a media sesión",Bolsa de Hong Kong,negative,negative,negative
465852.0,"La Bolsa de México pierde un 0,36 % al inicio de la sesión",Bolsa de México,negative,negative,negative
472571.0,Los trabajadores de ITP en Sestao y Barakaldo piden una solución 'in extremis' a sus despidos,trabajadores de ITP,negative,negative,negative
476793.0,"La Bolsa de Londres baja un 0,29 % en la apertura",Bolsa de Londres,negative,negative,negative
478898.0,La luz anticipa mañana otro récord con España congelada,luz,positive,negative,negative
479992.0,"El PIB frena su crecimiento y se expande un 0,5% en el segundo trimestre",PIB,negative,negative,negative
484592.0,"Trump: ""Sin las subidas de tipos de la Fed, EEUU habría crecido un 4% en 2018""",subidas de tipos,negative,negative,negative
491130.0,Cae la tasa de ahorro de los hogares en 2018 al mínimo histórico,tasa de ahorro,negative,negative,negative
491838.0,Sólo el PSOE se enroca en mantener la subida del impuesto de matriculación,PSOE,negative,negative,negative
496678.0,"La Bolsa de París baja un 0,09 % a la apertura",Bolsa de París,negative,negative,negative
502644.0,"Rusia, un país con excesiva presencia del Estado e infraestructuras insuficientes",Rusia,negative,negative,negative
517496.0,Huelga en la mayor compañía minera de Mauritania casi paraliza la actividad,mayor compañía minera de Mauritania,negative,negative,negative
518084.0,Wall Street vuelve a las ventas afectado por la caída del petróleo,Wall Street,negative,negative,negative
518286.0,"El precio de la gasolina sube un 1,73 % y el del gasóleo, un 1,21 %",precio de la gasolina,positive,negative,negative
522492.0,Los tuits de Trump y las tensiones geopolíticas tumban la Bolsa de Seúl,tuits de Trump,negative,negative,negative
522716.0,Los cruceros reabren sus puertas con solo un quinto de su negocio,cruceros,negative,negative,negative
531001.0,La bolsa de Sao Paulo encadena tercera caída consecutiva en jornada volátil,bolsa de Sao Paulo,negative,negative,negative
534520.0,ELA aboga por mantener la huelga indefinida en Tubacex como «garantía» para negociar,ELA,negative,negative,negative
537969.0,La guerra fría tecnológica entre EEUU y China acentúa el temor de Wall Street,guerra fría tecnológica,negative,negative,negative
540922.0,"El petróleo de Texas cae un 0,6% y cierra en 58,81 dólares el barril",petróleo de Texas,negative,negative,positive
544427.0,"Caída de Google y de sus servicios de Gmail y Youtube en EEUU, España y otros países europeos",Caída de Google,negative,negative,negative
548878.0,Los riesgos económicos ante la repetición electoral de noviembre,riesgos económicos,negative,negative,negative
550800.0,"La Bolsa de Sao Paulo pierde un 0,41 % en la apertura",Bolsa de Sao Paulo,negative,negative,negative
553032.0,"España, en la zona media de la digitalización europea: lastrada por la formación y los precios",España,negative,negative,negative
554620.0,"La deuda pública marca nuevo récord con 1,2 billones de euros hasta marzo",deuda pública,negative,negative,negative
554869.0,"El Gobierno admite que la fortaleza del euro es una ""amenaza importante"" para el turismo en España",fortaleza del euro,positive,negative,negative
562761.0,Funcas avisa: la ralentización económica y la incertidumbre política obstaculizan el cumplimiento del déficit,cumplimiento del déficit,negative,negative,negative
569452.0,"El IBEX abre con pérdidas del 0,25 % en una jornada sin referencias de EEUU",IBEX,negative,negative,negative
573211.0,El Ibex vuelve a perder el 9.000 lastrado por el Brexit y la guerra comercial,Ibex,negative,negative,negative
690590.0,La planta de Nissan en Barcelona dejará de fabricar el 'pick-up' de Mercedes-Benz,planta de Nissan,negative,negative,negative
726820.0,CEOE denuncia la falta de EPIs de las pymes para reanudar su actividad con garantías,falta de EPIs,negative,negative,negative
995761.0,La ley de sociedades profesionales se retrasa de nuevo en el Congreso,ley de sociedades profesionales,negative,negative,neutral
1078862.0,Los peligros de financiarse sólo con rondas,rondas,negative,negative,neutral
1248454.0,"Tamaño y sector, los motivos detrás de las ""acusadas"" diferencias en digitalización de las empresas españolas",Tamaño y sector,negative,negative,neutral
1490866.0,Acciona ve imposible adjudicar el contrato de ATLL a Agbar,Acciona,negative,negative,neutral
1578198.0,El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional,PSOE,negative,negative,neutral
1600989.0,La confianza empresarial cae en Alemania en septiembre por quinto mes,confianza empresarial,negative,negative,neutral
1680593.0,"Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar",Gandía,negative,negative,neutral
1703125.0,"El sector textil cae un 8% en un semestre ""dramático"" en ventas",sector textil,negative,negative,neutral
1706393.0,"El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea",juez,negative,negative,neutral
1706608.0,Fitch avisa de que la unión bancaria no tranquiliza a los inversores,unión bancaria,negative,negative,neutral
1818008.0,"Las ventas minoristas de la eurozona cayeron un 0,6% en diciembre",ventas minoristas de la eurozona,negative,negative,neutral
1906456.0,Cuando el heredero no sirve como directivo,heredero,negative,negative,neutral
1906857.0,La publicidad emitida en TV cae casi un 12% en el tercer trimestre,publicidad emitida en TV,negative,negative,neutral
3042098.0,El 60% de las empresas no prevé mejorar sus ventas este verano,60% de las empresas,negative,negative,neutral
3067491.0,Cataluña amenaza el año récord de Caixabank,Cataluña,negative,negative,neutral
3103096.0,La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores,oferta china,negative,negative,neutral
3103225.0,El Automobile de Barcelona se aplaza a septiembre por la crisis mundial de chips,Automobile de Barcelona,negative,negative,neutral
3167369.0,"La solvencia del posible comprador de Air Comet, en entredicho",comprador de Air Comet,negative,negative,neutral
3167891.0,Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia,cofradías,negative,negative,neutral
3698216.0,Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph,influencer,negative,negative,neutral
4279305.0,El activismo climático veta al gas,gas,negative,negative,neutral
4522279.0,"La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron",confianza empresarial,negative,negative,neutral
4526195.0,Los datos sobre el uso de los ascensores arrojan una caída del 45% en la afluencia a la oficina por ómicron,uso de los ascensores,negative,negative,neutral
4569351.0,La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera,Bankia,negative,negative,neutral
4719943.0,6 errores que tienes que evitar al alquilar una oficina,6 errores,negative,negative,neutral
5014127.0,"El ""Operativo Máximo"" causa un temblor en el PJ bonaerense","""Operativo Máximo""",negative,neutral,neutral
5044021.0,Los inspectores de Trabajo preparan huelga en marzo ante el “abandono” de Díaz y Montero,inspectores de Trabajo,negative,negative,negative
5656984.0,Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones,Tenaris,negative,negative,neutral
5680880.0,La devaluación puso más presión a los balances de las empresas,devaluación,negative,negative,neutral
5782642.0,Empeoran las condiciones de los créditos para empresas,créditos para empresas,negative,negative,neutral
3698216.0,Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph,influencer,negative,negative,neutral
1706608.0,Fitch avisa de que la unión bancaria no tranquiliza a los inversores,unión bancaria,negative,negative,neutral
5656984.0,Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones,Tenaris,negative,negative,neutral
3167891.0,Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia,cofradías,negative,negative,neutral
99212.0,Draghi protesta por el registro policial efectuado en el banco central de Eslovenia,Draghi,negative,negative,neutral
1078862.0,Los peligros de financiarse sólo con rondas,rondas,negative,negative,neutral
3067491.0,Cataluña amenaza el año récord de Caixabank,Cataluña,negative,negative,neutral
1703125.0,"El sector textil cae un 8% en un semestre ""dramático"" en ventas",sector textil,negative,negative,neutral
267685.0,La CNMV prohíbe las ventas en corto sobre acciones de 69 sociedades por el impacto del coronavirus,CNMV,negative,negative,neutral
3103096.0,La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores,oferta china,negative,negative,neutral
4569351.0,La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera,Bankia,negative,negative,neutral
4279305.0,El activismo climático veta al gas,gas,negative,negative,neutral
358600.0,Los malos resultados de ArcelorMittal preocupan a las plantas del País Vasco,ArcelorMittal,negative,negative,neutral
5014127.0,"El ""Operativo Máximo"" causa un temblor en el PJ bonaerense","""Operativo Máximo""",negative,negative,neutral
41485.0,Las aseguradoras verán reducida su red bancaria en 1.560 oficinas,aseguradoras,negative,negative,neutral
300251.0,Sube solo un 2% el tipo efectivo que las empresas pagan a Hacienda,tipo efectivo,negative,negative,neutral
64520.0,Los coches eléctricos cortocircuitarán a los concesionarios,coches eléctricos,negative,negative,neutral
1490866.0,Acciona ve imposible adjudicar el contrato de ATLL a Agbar,Acciona,negative,negative,neutral
5680880.0,La devaluación puso más presión a los balances de las empresas,devaluación,negative,negative,neutral
1680593.0,"Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar",Gandía,negative,negative,neutral
4522279.0,"La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron",confianza empresarial,negative,negative,neutral
4719943.0,6 errores que tienes que evitar al alquilar una oficina,6 errores,negative,negative,neutral
256100.0,La banca estadounidense también se suma al exilio fiscal,banca estadounidense,negative,negative,neutral
1578198.0,El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional,PSOE,negative,negative,neutral
1906456.0,Cuando el heredero no sirve como directivo,heredero,negative,negative,neutral
1600989.0,La confianza empresarial cae en Alemania en septiembre por quinto mes,confianza empresarial,negative,negative,neutral
169594.0,El futbolista del Real Madrid Marcelo paga medio millón de euros a Hacienda y evita una pena de cárcel de 4 meses,Marcelo,negative,neutral,neutral
1706393.0,"El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea",juez,negative,negative,neutral
12794.0,El Covid-19 recorta en 2.150 millones el beneficio de las cotizadas catalanas,Covid-19,negative,negative,neutral
201804.0,Las empresas españolas ante el desafío de la ciberseguridad,empresas españolas,negative,negative,neutral
3171658.0,La publicidad caerá un 17% este año,publicidad,negative,negative,neutral
6113947.0,JPMorgan: Vender acciones ahora conlleva mucho riesgo,Vender acciones,negative,negative,neutral
70135.0,La UE reduce su lista de paraísos fiscales en medio del escándalo por los 'Papeles de Pandora',UE,positive,neutral,positive
5438416.0,Los anuncios sin ley de los ‘influencers’ tienen los días contados,anuncios sin ley,negative,negative,positive
6145580.0,"La propiedad intelectual podría ""desaparecer"" en el metaverso, según un prestigioso abogado especializado: así pueden protegerse las marcas, según los expertos",propiedad intelectual,negative,negative,neutral
299559.0,Lindorff anuncia el despido de 449 trabajadores en España,Lindorff,negative,neutral,negative
312612.0,CCOO convoca paro en el centro de Amazon en San Fernando el 18 de mayo,centro de Amazon,negative,negative,negative
313931.0,Los taxistas se trasladan al centro de Madrid en su séptimo día de huelga,taxistas,negative,neutral,negative
322452.0,Feelcapital alerta de que los fondos de pensiones se venden sin realizar perfil de riesgo,fondos de pensiones,negative,neutral,negative
352280.0,"El interés de las hipotecas sigue en mínimos del 1,9% a pesar del auge de los tipos fijos",interés de las hipotecas,negative,neutral,positive
398347.0,Airbus cierra sus plantas en España cuatro días y Volkswagen tres semanas,Airbus,negative,negative,negative
429038.0,Hidalgo (Globalia) vaticina el fin de la agencia de viaje para sacar billetes,Hidalgo (Globalia),negative,negative,negative
442187.0,Jubilados protestan en Madrid contra norma sobre pensiones y el taxi se une,norma sobre pensiones,negative,neutral,negative
454377.0,La reunión de Fomento con los estibadores acaba sin acuerdo,reunión de Fomento,negative,negative,negative
454986.0,"Empresas portuarias denuncian el ""vandalismo"" de los estibadores",Empresas portuarias,negative,negative,neutral
473575.0,Así ha sido el robo de película de 750 kg. de oro en un aeropuerto de Brasil,robo de película,negative,neutral,negative
502117.0,"La vivienda se encarece un 4,2 % en eurozona y UE en último trimestre de 2018",vivienda,negative,neutral,negative
574836.0,Papelón del Gobierno: así es el dinero que descubre ahora para las pensiones,Gobierno,negative,neutral,negative
618023.0,Vesuvius se niega a retirar el ERE que afecta a 128 trabajadores,Vesuvius,negative,neutral,neutral
624854.0,Las aerolíneas ven difícil poder reemplazar a Thomas Cook a corto plazo,aerolíneas,negative,neutral,negative
626110.0,Declarada en concurso In Destination Incoming tras la quiebra Thomas Cook,In Destination Incoming,negative,neutral,neutral
626507.0,Twitter y Tweetdeck experimentan problemas que impiden su uso con normalidad,Twitter,negative,neutral,negative
635705.0,"El sector de componentes para coches ve un 2020 ""desafiante"" y ""preocupante""",sector de componentes para coches,negative,neutral,negative
646800.0,Telefónica gana un 50% menos hasta septiembre tras reestructurar su plantilla,Telefónica,negative,neutral,neutral
664446.0,"El sector inmobiliario, a la cola en sostenibilidad, pide objetivos realistas",sector inmobiliario,negative,neutral,negative
691487.0,Agencias de viajes recomiendan no viajar a China y facilitar cancelaciones,China,negative,neutral,negative
691787.0,División de opiniones entre las CCAA sobre la decisión de Hacienda de dar un mayor margen de déficit tras negar los fondos del IVA,Hacienda,negative,neutral,neutral
744557.0,Barricadas y quema de neumáticos frente a la planta de Alcoa por los despidos,planta de Alcoa,negative,neutral,negative
810037.0,Medidas frente a la ocupación ilegal de viviendas,ocupación ilegal de viviendas,negative,neutral,negative
831306.0,El 20% de los españoles ya tiene problemas para pagar su hipoteca o alquiler,20% de los españoles,negative,neutral,negative
840628.0,Facturas falsas y fraude fiscal: varapalo al promotor de oficinas que acusa al Gobierno de comprar periodistas,promotor de oficinas,negative,neutral,negative
990231.0,"Economía/Agricultura.- Asaja pide que la retencion de ovejas y cabras acabe un mes antes para evitar ""graves perjuicios""",Asaja,negative,neutral,negative
1024646.0,Las empresas tecnológicas españolas: mucha oferta y muy pocos candidatos,empresas tecnológicas españolas,negative,neutral,negative
1026882.0,"El Gobierno, sin índice de precios para limitar los alquileres ni metodología para calcularlo",Gobierno,negative,neutral,negative
1028555.0,Vodafone presenta un ERE para 515 empleados en España,Vodafone,negative,neutral,neutral
1048482.0,En la calle a la espera del Ingreso Mínimo Vital,Ingreso Mínimo Vital,negative,neutral,negative
1048778.0,Los locales de ocio nocturno serán clausurados a lo largo de esta semana,locales de ocio nocturno,negative,neutral,negative
1079922.0,La deuda de la Comunidad también es consecuencia de la adhesión al Fondo de Facilidad Financiera,deuda de la Comunidad,negative,neutral,negative
1084959.0,"Las pensiones en España, rumbo hacia el iceberg",pensiones en España,negative,neutral,negative
1105891.0,"Los españoles necesitan 7,5 años de sueldo íntegro para comprar una vivienda",españoles,negative,neutral,negative
1121641.0,Volkswagen era consciente del fraude de las emisiones semanas antes de lo admitido,Volkswagen,negative,neutral,negative
1150544.0,La venta de suelo cada vez cubre menos de lo que cuesta el Parque Central de Valencia,venta de suelo,negative,neutral,negative
1184936.0,"Metro de Madrid comienza hoy los paros y critica unos servicios mínimos ""abusivos""",Metro de Madrid,negative,neutral,negative
1275972.0,Alquilar un piso compartido en Aragón cuesta de media de 252 euros al mes,Alquilar un piso compartido,neutral,neutral,neutral
1304618.0,Isern Patentes y Marcas presenta un ERTE,Isern Patentes y Marcas,negative,neutral,neutral
1305160.0,"Airbus plantea un ERTE para sus centros de Getafe, Illescas y Puerto Real",Airbus,negative,neutral,neutral
1459601.0,Deutsche Bank cerrará un 25% de sus oficinas y venderá Postbank para ahorrar 3.500 millones,Deutsche Bank,negative,neutral,negative
1462027.0,Banco Madrid intenta frenar la fuga de empleados,Banco Madrid,negative,neutral,neutral
1463784.0,Los billetes de 100 euros en circulación marcan mínimos históricos en abril,billetes de 100 euros,negative,neutral,negative
1569048.0,La Reina y la Princesa de Asturias cobrarán un sueldo fijo anual,Reina,positive,neutral,negative
1574425.0,WhatsApp sufre un fallo de seguridad que permite a los 'hackers' leer conversaciones,WhatsApp,negative,neutral,negative
1576108.0,BNP Paribas suprimirá cerca de 1.600 empleos en su filial ucraniana,BNP Paribas,negative,neutral,neutral
1580565.0,UGT relaciona el descenso del paro con la reducción de la población activa,descenso del paro,negative,neutral,neutral
1581188.0,"Madrileños y vascos, en el ojo del huracán de las subidas del euribor",Madrileños y vascos,negative,neutral,negative
1588795.0,El Banco de Inglaterra pone un drástico límite a las hipotecas para pinchar la burbuja inmobiliaria,Banco de Inglaterra,negative,neutral,positive
1597977.0,Roche despedirá a unos 100 empleados en España,Roche,negative,neutral,neutral
1603566.0,"Fernández de Sousa prestó 5,2 millones a su mujer para llevarlos a China",Fernández de Sousa,negative,neutral,neutral
1680886.0,Telefónica recortará un 10% de su plantilla en la República Checa,Telefónica,negative,neutral,neutral
1705731.0,La Fiscalía denuncia al presidente del Puerto de Valencia por posible malversación,presidente del Puerto de Valencia,negative,neutral,negative
1784790.0,Competencia cuestiona las UTE en contratación pública,UTE,negative,neutral,negative
1786919.0,Huelga la reforma,reforma,neutral,neutral,neutral
1833135.0,La OIT ve la reforma laboral en España insuficiente para atajar el uso del despido improcedente,reforma laboral en España,negative,neutral,negative
1846226.0,El servicio de radio de la BBC entra en crisis por los despidos masivos,BBC,negative,neutral,negative
1851618.0,El Hospital de Sant Pau negocia un ERE que afectará a unos 500 trabajadores,Hospital de Sant Pau,negative,neutral,neutral
1893441.0,Ryanair cancela cuatro rutas en El Prat por la subida de las tasas aeroportuarias,Ryanair,negative,neutral,negative
1896421.0,Los coches reservados en agosto y entregados en septiembre tributarán con dos tipos de IVA distintos,coches reservados en agosto,negative,neutral,negative
1901698.0,Vestas aplica sus recortes en España y prescinde de 250 empleados,Vestas,negative,neutral,neutral?
3025311.0,Ford Almussafes anuncia un nuevo ERTE de 33 días,Ford Almussafes,negative,neutral,neutral?
3162652.0,"El nuevo mecanismo de ajuste de las pensiones no evitará el recorte de sus cuantías, según los expertos",ajuste de las pensiones,negative,neutral,negative
3198051.0,"Caixa Penedès cerrará 39 oficinas, el 6% de su red",Caixa Penedès,negative,neutral,negative
3208212.0,BBVA se suma a los recortes de plantilla de la banca,BBVA,negative,neutral,neutral?
3264610.0,"DIA, en la cuerda floja del IBEX",DIA,negative,neutral,negative
3266545.0,Iglesias coloca un vicario en la negociación de los Presupuestos,Iglesias,negative,neutral,negative
3288640.0,Afectados por el coronavirus demandarán a Torra por las residencias,Torra,negative,neutral,negative
3289713.0,"Galicia: protesta por el ERE del Santander, que afectará a 370 empleos",ERE del Santander,negative,neutral,neutral
3333341.0,Farggi presenta un ERE para despedir a 153 trabajadores,Farggi,negative,neutral,neutral
3339581.0,Iberdrola camufla sus problemas en España,Iberdrola,negative,neutral,neutral
72449.0,"‘Arrivederci’ Alitalia, no se te echará de menos",Alitalia,negative,neutral,neutral
73483.0,Bancos y turísticas frenan el repunte de pagos de dividendos en 2021,Bancos y turísticas,negative,neutral,neutral
77260.0,Squid: así colapsó la criptomoneda del ‘Juego del calamar’,Squid,negative,neutral,negative
79183.0,El misterio de quién inventó el bitcóin llega a juicio,bitcóin,neutral,neutral,neutral
91332.0,"Las ventas de vehículos de ocasión cae un 9,7% en el primer trimestre del año",ventas de vehículos de ocasión,negative,neutral,neutral
107605.0,Hugo Boss advierte de que no cumplirá previsiones por el descenso de ventas en China,Hugo Boss,negative,neutral,neutral
119002.0,En libertad con cargos cuatro de los detenidos de la organización UPA Extremadura,detenidos de la organización UPA,positive,neutral,neutral
132572.0,Una sentencia avala que se pueda despedir a un miembro del comité de empresa,miembro del comité de empresa,negative,neutral,neutral
138350.0,"Vara se siente ""engañado"" con la inversión de los Presupuestos en Extremadura",Vara,negative,neutral,neutral
142233.0,"Repsol somete este viernes a su junta de accionistas el pago de un dividendo complementario de 0,45 euros",Repsol,neutral,neutral,neutral
150654.0,Leopoldo del Nogal abandona el consejo de administración de El Corte Inglés,Leopoldo del Nogal,negative,neutral,neutral
156169.0,Técnicas Reunidas y el reto de lograr nuevos contratos,Técnicas Reunidas,negative,neutral,neutral
159246.0,Las gestoras catalanas frenan los reembolsos de sus fondos,gestoras catalanas,positive,neutral,neutral
172718.0,"Siemens Gamesa: el ajuste de plantilla no se hizo bien porque ""hubo mucho ruido y rumores""",Siemens Gamesa,negative,neutral,neutral
220250.0,"El mayor fabricante mundial de semiconductores, afectado por un virus informático",fabricante mundial de semiconductores,negative,neutral,negative
235576.0,Un rebote que sabe a poco,Un rebote,negative,neutral,neutral
257274.0,El Popular cierra su semana negra con pérdidas de 800 millones en Bolsa,Popular,negative,neutral,negative
278096.0,El bitcóin cae a mínimos de dos meses tras la prohibición de publicidad en Facebook,bitcóin,negative,neutral,negative
286942.0,Realia gana un 74% menos en 2017 por los extraordinarios de 2016,Realia,negative,neutral,neutral
333703.0,Comerciantes amenazan con denunciar a CaixaBank por vender electrodomésticos,CaixaBank,negative,neutral,neutral
336115.0,La Airef considera que la política fiscal de los Presupuestos es «muy similar» a la de otros años,Presupuestos,neutral,neutral,neutral
338511.0,La mudanza de la TDT para dar paso al 5G puede costar 350 millones en ayudas,mudanza de la TDT,negative,neutral,neutral
341423.0,Bankinter ve “injusto” el impuesto a la banca y confía en que no salga adelante,impuesto a la banca,negative,neutral,neutral
345993.0,Gimeno pide la auditoría sobre contratación en el área de seguridad de ECI,área de seguridad de ECI,negative,neutral,neutral
348705.0,Ibarrola dimite como presidente de Deoleo por motivos de salud,Ibarrola,negative,neutral,neutral
370790.0,Calviño no considera «muy barata» la indemnización por despido de 20 días,indemnización por despido,negative,neutral,neutral
395117.0,Primer reto de Villar-Mir II: Levantar un desplome de la acción del 77%,Villar-Mir II,negative,neutral,negative
401291.0,Baleares sanciona a Iberia con 448.000 euros por aplicar la cláusula 'no show',Iberia,negative,neutral,neutral
437455.0,Acciones de Norwegian caen casi un 11 % tras anunciar ampliación de capital,Acciones de Norwegian,negative,neutral,neutral
440300.0,H&M gana un 22% menos pero aguanta el tirón en España: vende un 2% más,H&M,negative,neutral,neutral
446280.0,"Albella (CNMV): ""La investigación interna de BBVA está tardando demasiado""",investigación interna de BBVA,negative,neutral,negative
465406.0,El Sabadell da por fracasada su fusión con el BBVA,Sabadell,negative,neutral,neutral
480843.0,"Departamento Transporte investiga Boeing, en fase final actualizar software",Boeing,negative,neutral,neutral
481226.0,"Liberbank gana 73 millones de euros en el primer semestre, un 14% menos",Liberbank,negative,neutral,neutral
481550.0,Alcoa alerta de que peligra el futuro de su planta de aluminio en Lugo,Alcoa,negative,neutral,neutral
513815.0,"La facturación trimestral del grupo PSA baja un 1,1 % interanual",grupo PSA,negative,neutral,neutral
521878.0,Lyft pierde 1.138 millones dólares en primeros resultados tras salida a bolsa,Lyft,negative,neutral,neutral
525528.0,Telefónica sale de la Bolsa de Argentina por su escaso volumen de negociación,Telefónica,negative,neutral,neutral
528661.0,Sacyr batalla en el Tribunal Supremo contra la concesión del aeropuerto de Corvera a Aena,Sacyr,negative,neutral,neutral
529945.0,"Thomas Cook cae un 14,72 % en Bolsa tras multiplicar por seis sus pérdidas",Thomas Cook,negative,neutral,neutral
530346.0,Adif multará a adjudicatarias que pacten concursos con el 10 % del contrato,Adif,negative,neutral,neutral
578829.0,El BCE concluye que Nordea tiene suficiente capital pero débil sistema datos,Nordea,negative,neutral,neutral
582166.0,Continental revisa a la baja sus pronósticos de beneficio y facturación,Continental,negative,neutral,neutral
587209.0,"Merlin gana 262 millones, un 45% menos, por la ausencia de extraordinarios",Merlin,negative,neutral,neutral
604665.0,Natra escribe su punto final en bolsa: quedará excluida el 30 de agosto,Natra,negative,neutral,neutral
612686.0,Ferrovial recurre la decisión judicial sobre la autopista canadiense ETR-407,Ferrovial,negative,neutral,neutral
